id;doc;doc_content_type;type_document
1;../fake-data/blob/hipster.png;image/png;GANTT
2;../fake-data/blob/hipster.png;image/png;GANTT
3;../fake-data/blob/hipster.png;image/png;GANTT
4;../fake-data/blob/hipster.png;image/png;GANTT
5;../fake-data/blob/hipster.png;image/png;RF
6;../fake-data/blob/hipster.png;image/png;CDC
7;../fake-data/blob/hipster.png;image/png;CDC
8;../fake-data/blob/hipster.png;image/png;RF
9;../fake-data/blob/hipster.png;image/png;GANTT
10;../fake-data/blob/hipster.png;image/png;GANTT
