id;actif;type_utilisateur;user_id;cursus
1;true;CLIENT;1;null
2;false;ETUDIANT;2;L3
3;true;CLIENT;3;null
4;true;ETUDIANT;4;L3
5;true;CLIENT;5;null
6;true;CLIENT;6;null
7;true;CLIENT;7;null
8;true;CLIENT;8;null
9;true;CLIENT;9;null
10;true;CLIENT;10;null
11;true;ETUDIANT;11;M1
12;true;ETUDIANT;12;L3
13;true;ETUDIANT;13;M2
14;true;ETUDIANT;14;L3
15;true;ETUDIANT;15;L3
16;true;ETUDIANT;16;L3
17;true;ETUDIANT;17;L3
18;true;ETUDIANT;18;M1
19;true;ETUDIANT;19;L3
20;true;ETUDIANT;20;L3
21;true;ETUDIANT;21;L3
22;true;ETUDIANT;22;M2
23;true;ETUDIANT;23;L3
24;true;ETUDIANT;24;M2
25;true;ETUDIANT;25;L3
26;true;ETUDIANT;26;L3
27;true;ETUDIANT;27;L3
28;true;ETUDIANT;28;M2
29;true;ETUDIANT;29;L3
30;true;ETUDIANT;30;L3
31;true;ETUDIANT;31;M1
32;true;ETUDIANT;32;L3
33;true;ETUDIANT;33;L3
34;true;ETUDIANT;34;L3
35;true;ETUDIANT;35;L3
36;true;ETUDIANT;36;L3
37;true;ETUDIANT;37;L3
38;true;ETUDIANT;38;M2
39;true;ETUDIANT;39;L3
40;true;ETUDIANT;40;L3
41;true;ETUDIANT;41;M1
42;true;ETUDIANT;42;L3
43;true;ETUDIANT;43;L3
44;true;ETUDIANT;44;L3
45;true;ETUDIANT;45;M1
46;true;ETUDIANT;46;L3
47;true;ETUDIANT;47;L3
48;true;ETUDIANT;48;L3
49;true;ETUDIANT;49;L3
50;true;ETUDIANT;50;L3
51;true;ETUDIANT;51;L3
52;true;ETUDIANT;52;L3
53;true;ETUDIANT;53;L3
54;true;ETUDIANT;54;M1
55;true;ETUDIANT;55;L3
56;true;ETUDIANT;56;L3
57;true;ETUDIANT;57;M2
58;true;ETUDIANT;58;L3
59;true;ETUDIANT;59;L3
60;true;ETUDIANT;60;M2
